[SafeGuard] 2025-11-29 22:31:28 | Running StaticEngine: ['python', 'OMG_main_engine_static_v25.py'] (cwd=C:\A1-M2\OmegaEngine)
[SafeGuard] 2025-11-29 22:31:28 | StaticEngine exited with code 0
[SafeGuard] 2025-11-29 22:32:07 | Running StaticEngine: ['python', 'OMG_main_engine_static_v25.py'] (cwd=C:\A1-M2\OmegaEngine)
[SafeGuard] 2025-11-29 22:32:07 | StaticEngine exited with code 0
[SafeGuard] 2025-11-29 22:42:09 | Running StaticEngine: ['python', 'OMG_main_engine_static_v25.py'] (cwd=C:\A1-M2\OmegaEngine)
[SafeGuard] 2025-11-29 22:42:09 | StaticEngine exited with code 0
[SafeGuard] 2025-11-29 22:43:23 | Running StaticEngine: ['python', 'OMG_main_engine_static_v25.py'] (cwd=C:\A1-M2\OmegaEngine)
[SafeGuard] 2025-11-29 22:43:23 | StaticEngine exited with code 0
[SafeGuard] 2025-11-30 16:58:28 | Running StaticEngine: ['python', 'OMG_main_engine_static_v25.py'] (cwd=C:\A1-M2\OmegaEngine)
[SafeGuard] 2025-11-30 16:58:28 | StaticEngine exited with code 2
[SafeGuard] 2025-11-30 16:58:28 | StaticEngine FAIL (rc=2) → count=1/3
[SafeGuard] 2025-11-30 17:05:20 | Running StaticEngine: ['python', 'OMG_main_engine_static_v26.py'] (cwd=C:\A1-M2\OmegaEngine)
[SafeGuard] 2025-11-30 17:05:20 | StaticEngine exited with code 0
[SafeGuard] 2025-11-30 17:05:20 | StaticEngine SUCCESS → GREEN
[SafeGuard] 2025-11-30 17:05:59 | Running StaticEngine: ['python', 'OMG_main_engine_static_v26.py'] (cwd=C:\A1-M2\OmegaEngine)
[SafeGuard] 2025-11-30 17:05:59 | StaticEngine exited with code 0
[SafeGuard] 2025-11-30 17:05:59 | Running StaticEngine: ['python', 'OMG_main_engine_static_v26.py'] (cwd=C:\A1-M2\OmegaEngine)
[SafeGuard] 2025-11-30 17:05:59 | StaticEngine exited with code 0
[SafeGuard] 2025-11-30 17:12:22 | Running StaticEngine: ['python', 'OMG_main_engine_static_v26.py'] (cwd=C:\A1-M2\OmegaEngine)
[SafeGuard] 2025-11-30 17:12:22 | StaticEngine exited with code 0
[SafeGuard] 2025-11-30 17:18:47 | Running StaticEngine: ['python', 'OMG_main_engine_static_v26.py'] (cwd=C:\A1-M2\OmegaEngine)
[SafeGuard] 2025-11-30 17:18:47 | StaticEngine exited with code 0
[SafeGuard] 2025-11-30 17:18:47 | StaticEngine SUCCESS → GREEN
[SafeGuard] 2025-11-30 17:25:33 | Running StaticEngine: ['python', 'OMG_main_engine_static_v26.py'] (cwd=C:\A1-M2\OmegaEngine)
[SafeGuard] 2025-11-30 17:25:34 | StaticEngine exited with code 0
[SafeGuard] 2025-11-30 17:25:34 | StaticEngine SUCCESS → GREEN
[SafeGuard] 2025-11-30 17:27:07 | Running StaticEngine: ['python', 'OMG_main_engine_static_v26.py'] (cwd=C:\A1-M2\OmegaEngine)
[SafeGuard] 2025-11-30 17:27:07 | StaticEngine exited with code 0
[SafeGuard] 2025-11-30 17:27:07 | StaticEngine SUCCESS → GREEN
